formulacao;manteiga_1;manteiga_2;oleo;perc_lipidio1;perc_lipidio2;perc_tensoativo;pdi;tamanho;translucida;PontoDeNuvem;Lipidio1;PontoFusao1;Perc_Ac_Palmitico1;Perc_Ac_Estearico1;Perc_Ac_Oleico1;Perc_Ac_Linoleico1;Perc_Ac_Vacenico1;Perc_Ac_Linolenico1;Perc_Ac_Caprilico1;Perc_Ac_Caprico1;Perc_Ac_Laurico1;Perc_Ac_Miristico1;Perc_Ac_Palmitoleico1;Perc_Ac_Beenico1;Perc_Ac_Valerico1;Perc_Ac_Araquidico1;Perc_Outros1;Perc_AG_Saturados1;Perc_AG_Insaturados1;Lipidio2;PontoFusao2;Perc_Ac_Palmitico2;Perc_Ac_Estearico2;Perc_Ac_Oleico2;Perc_Ac_Linoleico2;Perc_Ac_Vacenico2;Perc_Ac_Linolenico2;Perc_Ac_Caprilico2;Perc_Ac_Caprico2;Perc_Ac_Laurico2;Perc_Ac_Miristico2;Perc_Ac_Palmitoleico2;Perc_Ac_Beenico2;Perc_Ac_Valerico2;Perc_Ac_Araquidico2;Perc_Outros2;Perc_AG_Saturados2;Perc_AG_Insaturados2
7;Murumuru;;Jambu;50;25;25;0,211;149,6;0;0;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
8;Murumuru;;Jambu;33,35;16,65;50;0,3746;41,95;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
9;Murumuru;;Jambu;16,65;25;58,35;0,1563;25,74;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
10;Murumuru;;Jambu;33,35;50;16,65;0,2894;2754;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
11;Murumuru;;Jambu;33,35;33,35;33,3;0,2182;149,8;0;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
1;Manga;;Andiroba;25;25;50;0,385;1,137;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
2;Manga;;Andiroba;16,65;50;33,35;0,429;1,546;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
3;Manga;;Andiroba;50;16,65;33,35;0,277;1,634;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
4;Manga;;Andiroba;37,5;37,5;25;0,345;1,131;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
5;Manga;;Andiroba;25;50;25;0,514;1,738;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
6;Manga;;Andiroba;25;16,65;58,35;0,328;988,5;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
7;Manga;;Andiroba;50;25;25;0,449;1,163;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
8;Manga;;Andiroba;33,35;16,65;50;0,337;1,337;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
9;Manga;;Andiroba;16,65;25;58,35;0,599;918;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
